year,month,decimal date,average,interpolated,trend,ndays
2018,11,2018.8750,408.21,410.24,24,0.56,0.22
2018,12,2018.9583,409.27,409.99,30,0.50,0.17
2019,1,2019.0417,411.03,410.69,26,1.26,0.47
2019,2,2019.1250,411.96,411.05,27,1.14,0.42
2019,3,2019.2083,412.18,410.69,28,1.12,0.40
2019,4,2019.2917,413.54,410.73,27,0.60,0.22
2019,5,2019.3750,414.86,411.38,28,0.50,0.18
2019,6,2019.4583,414.16,411.76,27,0.36,0.13
2019,7,2019.5417,411.97,411.63,25,0.82,0.31
2019,8,2019.6250,410.18,412.18,29,0.33,0.12
2019,9,2019.7083,408.76,412.37,30,0.38,0.13
2019,10,2019.7917,408.75,412.12,29,0.31,0.11
2019,11,2019.8750,410.48,412.52,26,0.40,0.15
